ticker,issuer_cik,year,quarter,n_investors,completed_at
AAL,6201,2023,3,596,2026-05-18T04:25:56.643597+00:00
AAL,6201,2023,4,600,2026-05-18T04:25:57.341544+00:00
AAL,6201,2024,1,630,2026-05-18T04:25:58.064268+00:00
AAL,6201,2024,2,613,2026-05-18T04:25:58.754807+00:00
AAL,6201,2024,3,554,2026-05-18T04:25:59.551639+00:00
AAL,6201,2024,4,617,2026-05-18T04:26:00.353316+00:00
AAL,6201,2025,1,596,2026-05-18T04:26:01.108262+00:00
AAL,6201,2025,2,593,2026-05-18T04:26:02.004414+00:00
AAL,6201,2025,3,543,2026-05-18T04:26:04.376676+00:00
AAL,6201,2025,4,531,2026-05-18T04:26:07.224652+00:00
DAL,27904,2013,3,492,2026-05-18T04:26:08.336812+00:00
DAL,27904,2013,4,591,2026-05-18T04:26:15.424161+00:00
DAL,27904,2014,1,635,2026-05-18T04:26:16.330197+00:00
DAL,27904,2014,2,678,2026-05-18T04:26:19.074829+00:00
DAL,27904,2014,3,704,2026-05-18T04:26:20.124071+00:00
DAL,27904,2014,4,801,2026-05-18T04:26:27.562657+00:00
DAL,27904,2015,1,810,2026-05-18T04:26:28.609915+00:00
DAL,27904,2015,2,776,2026-05-18T04:26:31.244909+00:00
DAL,27904,2015,3,791,2026-05-18T04:26:32.239715+00:00
DAL,27904,2015,4,863,2026-05-18T04:26:39.425865+00:00
DAL,27904,2016,1,830,2026-05-18T04:26:40.388765+00:00
DAL,27904,2016,2,798,2026-05-18T04:26:41.150913+00:00
DAL,27904,2016,3,765,2026-05-18T04:26:48.423246+00:00
DAL,27904,2016,4,827,2026-05-18T04:26:49.263253+00:00
DAL,27904,2017,1,854,2026-05-18T04:26:50.025795+00:00
DAL,27904,2017,2,853,2026-05-18T04:26:57.262922+00:00
DAL,27904,2017,3,861,2026-05-18T04:26:58.035785+00:00
DAL,27904,2017,4,954,2026-05-18T04:26:58.831439+00:00
DAL,27904,2018,1,982,2026-05-18T04:27:06.068618+00:00
DAL,27904,2018,2,968,2026-05-18T04:27:06.845931+00:00
DAL,27904,2018,3,973,2026-05-18T04:27:07.829222+00:00
DAL,27904,2018,4,1011,2026-05-18T04:27:15.025689+00:00
DAL,27904,2019,1,1018,2026-05-18T04:27:15.839138+00:00
DAL,27904,2019,2,1037,2026-05-18T04:27:16.594482+00:00
DAL,27904,2019,3,1065,2026-05-18T04:27:23.948868+00:00
DAL,27904,2019,4,1132,2026-05-18T04:27:26.431581+00:00
DAL,27904,2020,1,966,2026-05-18T04:27:27.161875+00:00
DAL,27904,2020,2,858,2026-05-18T04:27:34.337266+00:00
DAL,27904,2020,3,831,2026-05-18T04:27:35.187503+00:00
DAL,27904,2020,4,969,2026-05-18T04:27:36.027866+00:00
DAL,27904,2021,1,992,2026-05-18T04:27:43.321221+00:00
DAL,27904,2021,2,956,2026-05-18T04:27:44.085972+00:00
DAL,27904,2021,3,956,2026-05-18T04:27:44.844272+00:00
DAL,27904,2021,4,976,2026-05-18T04:27:52.050222+00:00
DAL,27904,2022,1,978,2026-05-18T04:27:52.913670+00:00
DAL,27904,2022,2,899,2026-05-18T04:27:53.721807+00:00
DAL,27904,2022,3,881,2026-05-18T04:28:00.976836+00:00
DAL,27904,2022,4,963,2026-05-18T04:28:01.781643+00:00
DAL,27904,2023,1,969,2026-05-18T04:28:02.535845+00:00
DAL,27904,2023,2,1067,2026-05-18T04:28:09.760693+00:00
DAL,27904,2023,3,1017,2026-05-18T04:28:10.629450+00:00
DAL,27904,2023,4,1056,2026-05-18T04:28:11.417858+00:00
DAL,27904,2024,1,1071,2026-05-18T04:28:18.576527+00:00
DAL,27904,2024,2,1088,2026-05-18T04:28:19.442982+00:00
DAL,27904,2024,3,1074,2026-05-18T04:28:20.170735+00:00
DAL,27904,2024,4,1208,2026-05-18T04:28:27.357530+00:00
DAL,27904,2025,1,1117,2026-05-18T04:28:28.551824+00:00
DAL,27904,2025,2,1177,2026-05-18T04:28:32.543625+00:00
DAL,27904,2025,3,1210,2026-05-18T04:28:34.890975+00:00
DAL,27904,2025,4,1262,2026-05-18T04:28:37.627938+00:00
JPM,19617,2013,3,1589,2026-05-18T04:28:38.795684+00:00
JPM,19617,2013,4,1725,2026-05-18T04:28:46.023141+00:00
JPM,19617,2014,1,1722,2026-05-18T04:28:46.871149+00:00
JPM,19617,2014,2,1694,2026-05-18T04:28:47.902973+00:00
