year,quarter,firm_f,firm_g,kappa,contrib_Vanguard,contrib_BlackRock,contrib_State Street,contrib_Passive,contrib_Active,contrib_Hedge Fund,contrib_Other,time
2013,3,MSFT,ADP,0.978862,0.215287,0.247352,0.158553,0.032478,0.30622,6.2e-05,0.01891,2013.625
2013,3,MSFT,ADSK,1.123602,0.25036,0.323639,0.138431,0.030265,0.352509,0.000738,0.027661,2013.625
2013,3,MSFT,AEE,0.845703,0.266076,0.24434,0.175192,0.031047,0.108806,0.000407,0.019835,2013.625
2013,3,MSFT,AEP,0.87613,0.187031,0.348287,0.167289,0.030151,0.121506,0.000245,0.021621,2013.625
2013,3,MSFT,AES,0.961401,0.223662,0.373332,0.140917,0.025609,0.181614,0.000179,0.016088,2013.625
2013,3,MSFT,AFL,0.83149,0.215366,0.252323,0.168277,0.057484,0.121373,0.000192,0.016476,2013.625
2013,3,MSFT,AIG,0.799576,0.173815,0.271887,0.145984,0.02716,0.158827,7.3e-05,0.021831,2013.625
2013,3,MSFT,AIZ,0.997102,0.254667,0.2646,0.175568,0.036876,0.234682,0.001685,0.029024,2013.625
2013,3,MSFT,AKAM,1.04104,0.239189,0.243842,0.144484,0.030473,0.362442,0.000251,0.020358,2013.625
2013,3,MSFT,ALL,0.874905,0.180806,0.287186,0.152401,0.029119,0.190105,0.000545,0.034742,2013.625
2013,3,MSFT,AMAT,0.886634,0.191385,0.289567,0.136195,0.028914,0.216661,0.00015,0.023763,2013.625
2013,3,MSFT,AME,0.94761,0.247877,0.269955,0.13715,0.030059,0.244805,0.000104,0.01766,2013.625
2013,3,DAL,AAPL,0.504338,0.159306,0.114474,0.073101,0.013559,0.127988,0.000158,0.015752,2013.625
2013,3,DAL,MSFT,0.596602,0.143106,0.121813,0.068622,0.012229,0.240513,0.000136,0.010183,2013.625
2013,3,DAL,JPM,0.597534,0.157762,0.142859,0.077005,0.014231,0.1805,0.008616,0.016561,2013.625
2013,3,DAL,BAC,0.499188,0.151257,0.115261,0.07619,0.012774,0.130576,0.000949,0.012181,2013.625
2013,3,DAL,PFE,0.526869,0.15101,0.140195,0.070816,0.013353,0.139967,0.000153,0.011374,2013.625
2013,3,DAL,MRK,0.684894,0.154812,0.14376,0.075365,0.013307,0.288251,0.000119,0.00928,2013.625
2013,3,DAL,NVDA,0.709489,0.204758,0.111925,0.079788,0.012,0.292868,0.001221,0.006929,2013.625
2013,3,DAL,XOM,0.448572,0.167703,0.12129,0.072834,0.013787,0.063712,0.000123,0.009124,2013.625
2013,3,DAL,CVX,0.622804,0.172152,0.13926,0.094338,0.014661,0.187105,0.000155,0.015133,2013.625
2013,3,DAL,KO,0.473143,0.158182,0.11032,0.064132,0.011852,0.122385,0.00011,0.006163,2013.625
2013,3,DAL,PEP,0.608628,0.182211,0.116876,0.070096,0.013744,0.217453,0.000138,0.00811,2013.625
2013,3,DAL,WMT,0.239365,0.090123,0.058116,0.039616,0.0057,0.042112,9.8e-05,0.003599,2013.625
